Source,Target,IntervalNumber,StartTime,EndTime,Duration,StartOrbit,EndOrbit
STARLINK-1008,Receiver,1,08-Jun-2026 13:04:00,08-Jun-2026 13:09:00,300,9,9
STARLINK-1008,Receiver,2,08-Jun-2026 14:41:00,08-Jun-2026 14:46:00,300,10,10
STARLINK-1008,Receiver,3,08-Jun-2026 21:13:00,08-Jun-2026 21:18:00,300,14,14
STARLINK-1008,Receiver,4,08-Jun-2026 22:51:00,08-Jun-2026 22:53:00,120,15,15
STARLINK-1012,Receiver,1,08-Jun-2026 13:01:00,08-Jun-2026 13:06:00,300,9,9
STARLINK-1012,Receiver,2,08-Jun-2026 14:38:00,08-Jun-2026 14:43:00,300,10,10
STARLINK-1012,Receiver,3,08-Jun-2026 21:10:00,08-Jun-2026 21:15:00,300,14,14
STARLINK-1012,Receiver,4,08-Jun-2026 22:47:00,08-Jun-2026 22:50:00,180,15,15
STARLINK-1017,Receiver,1,08-Jun-2026 12:47:00,08-Jun-2026 12:51:00,240,9,9
STARLINK-1017,Receiver,2,08-Jun-2026 14:24:00,08-Jun-2026 14:30:00,360,10,10
STARLINK-1017,Receiver,3,08-Jun-2026 21:01:00,08-Jun-2026 21:06:00,300,14,14
STARLINK-1017,Receiver,4,08-Jun-2026 22:39:00,08-Jun-2026 22:43:00,240,15,15
STARLINK-1020,Receiver,1,08-Jun-2026 00:03:00,08-Jun-2026 00:08:00,300,1,1
STARLINK-1020,Receiver,2,08-Jun-2026 15:03:00,08-Jun-2026 15:09:00,360,10,10
STARLINK-1020,Receiver,3,08-Jun-2026 16:41:00,08-Jun-2026 16:44:00,180,11,11
STARLINK-1020,Receiver,4,08-Jun-2026 23:10:00,08-Jun-2026 23:16:00,360,16,16
STARLINK-1036,Receiver,1,08-Jun-2026 13:28:00,08-Jun-2026 13:33:00,300,9,9
STARLINK-1036,Receiver,2,08-Jun-2026 19:56:00,08-Jun-2026 19:58:00,120,14,14
STARLINK-1036,Receiver,3,08-Jun-2026 21:30:00,08-Jun-2026 21:35:00,300,15,15
STARLINK-1039,Receiver,1,08-Jun-2026 01:24:00,08-Jun-2026 01:31:00,420,1,1
STARLINK-1039,Receiver,2,08-Jun-2026 16:41:00,08-Jun-2026 16:47:00,360,11,11
STARLINK-1039,Receiver,3,08-Jun-2026 18:21:00,08-Jun-2026 18:24:00,180,12,12
STARLINK-1039,Receiver,4,08-Jun-2026 23:19:00,08-Jun-2026 23:23:00,240,15,15
STARLINK-1042,Receiver,1,08-Jun-2026 07:47:00,08-Jun-2026 07:52:00,300,6,6
STARLINK-1042,Receiver,2,08-Jun-2026 14:19:00,08-Jun-2026 14:21:00,120,10,10
STARLINK-1042,Receiver,3,08-Jun-2026 15:54:00,08-Jun-2026 15:59:00,300,11,11
STARLINK-1043,Receiver,1,08-Jun-2026 14:23:00,08-Jun-2026 14:28:00,300,10,10
STARLINK-1043,Receiver,2,08-Jun-2026 20:53:00,08-Jun-2026 20:56:00,180,14,14
STARLINK-1043,Receiver,3,08-Jun-2026 22:28:00,08-Jun-2026 22:32:00,240,15,15
STARLINK-1046,Receiver,1,08-Jun-2026 00:15:00,08-Jun-2026 00:20:00,300,1,1
STARLINK-1046,Receiver,2,08-Jun-2026 15:15:00,08-Jun-2026 15:20:00,300,10,10
STARLINK-1046,Receiver,3,08-Jun-2026 16:53:00,08-Jun-2026 16:55:00,120,11,11
STARLINK-1046,Receiver,4,08-Jun-2026 23:22:00,08-Jun-2026 23:27:00,300,16,16
STARLINK-1047,Receiver,1,08-Jun-2026 11:30:00,08-Jun-2026 11:36:00,360,8,8
STARLINK-1047,Receiver,2,08-Jun-2026 13:09:00,08-Jun-2026 13:13:00,240,9,9
STARLINK-1047,Receiver,3,08-Jun-2026 18:08:00,08-Jun-2026 18:10:00,120,12,12
STARLINK-1047,Receiver,4,08-Jun-2026 19:44:00,08-Jun-2026 19:50:00,360,13,13
STARLINK-1048,Receiver,1,08-Jun-2026 11:46:00,08-Jun-2026 11:51:00,300,8,8
STARLINK-1048,Receiver,2,08-Jun-2026 13:23:00,08-Jun-2026 13:26:00,180,9,9
STARLINK-1048,Receiver,3,08-Jun-2026 19:49:00,08-Jun-2026 19:54:00,300,13,13
STARLINK-1063,Receiver,1,08-Jun-2026 01:26:00,08-Jun-2026 01:31:00,300,1,1
STARLINK-1063,Receiver,2,08-Jun-2026 16:30:00,08-Jun-2026 16:35:00,300,11,11
STARLINK-1063,Receiver,3,08-Jun-2026 18:09:00,08-Jun-2026 18:10:00,60,12,12
STARLINK-1063,Receiver,4,08-Jun-2026 23:03:00,08-Jun-2026 23:06:00,180,15,15
STARLINK-1067,Receiver,1,08-Jun-2026 14:34:00,08-Jun-2026 14:39:00,300,10,10
STARLINK-1067,Receiver,2,08-Jun-2026 21:00:00,08-Jun-2026 21:02:00,120,14,14
STARLINK-1067,Receiver,3,08-Jun-2026 22:34:00,08-Jun-2026 22:38:00,240,15,15
STARLINK-1068,Receiver,1,08-Jun-2026 11:43:00,08-Jun-2026 11:46:00,180,8,8
STARLINK-1068,Receiver,2,08-Jun-2026 13:18:00,08-Jun-2026 13:22:00,240,9,9
STARLINK-1068,Receiver,3,08-Jun-2026 19:43:00,08-Jun-2026 19:47:00,240,13,13
STARLINK-1068,Receiver,4,08-Jun-2026 21:18:00,08-Jun-2026 21:21:00,180,14,15
STARLINK-1114,Receiver,1,08-Jun-2026 00:00:00,08-Jun-2026 00:04:00,240,1,1
STARLINK-1114,Receiver,2,08-Jun-2026 06:27:00,08-Jun-2026 06:32:00,300,5,5
STARLINK-1114,Receiver,3,08-Jun-2026 08:03:00,08-Jun-2026 08:06:00,180,6,6
STARLINK-1114,Receiver,4,08-Jun-2026 22:56:00,08-Jun-2026 23:02:00,360,15,16
